id_departamento,Cueanexo,Departamento,Común,Primario,Jardin,Secundario
2098,20020100,Comuna 14,1.0,0.0,0.0,1.0
2098,20020101,Comuna 14,1.0,1.0,1.0,0.0
2105,20020200,Comuna 15,1.0,1.0,0.0,0.0
2105,20020300,Comuna 15,1.0,1.0,1.0,1.0
2084,20020600,Comuna 12,1.0,1.0,1.0,0.0
2084,20020700,Comuna 12,1.0,1.0,0.0,0.0
2084,20020800,Comuna 12,1.0,1.0,0.0,0.0
2105,20020900,Comuna 15,1.0,0.0,1.0,0.0
2105,20020901,Comuna 15,1.0,1.0,0.0,0.0
2105,20020902,Comuna 15,1.0,0.0,0.0,1.0
2098,20021200,Comuna 14,1.0,0.0,1.0,0.0
2091,20021300,Comuna 13,1.0,1.0,0.0,0.0
2105,20021400,Comuna 5,1.0,1.0,0.0,0.0
2077,20021500,Comuna 11,1.0,1.0,0.0,0.0
2077,20021600,Comuna 11,1.0,1.0,0.0,0.0
2091,20021700,Comuna 13,1.0,1.0,1.0,1.0
2091,20021800,Comuna 13,1.0,1.0,1.0,1.0
2077,20021900,Comuna 11,1.0,1.0,0.0,0.0
2049,20022000,Comuna 7,1.0,0.0,1.0,0.0
2049,20022001,Comuna 7,1.0,0.0,1.0,0.0
2049,20022002,Comuna 7,1.0,0.0,1.0,0.0
2105,20022100,Comuna 15,1.0,1.0,0.0,0.0
2105,20022200,Comuna 15,,0.0,0.0,0.0
2105,20022300,Comuna 15,1.0,1.0,1.0,1.0
2105,20022400,Comuna 15,1.0,1.0,1.0,0.0
2105,20022500,Comuna 15,1.0,1.0,1.0,0.0
2084,20023000,Comuna 12,1.0,1.0,0.0,0.0
2084,20023100,Comuna 12,1.0,1.0,1.0,1.0
2007,20023200,Comuna 1,1.0,0.0,0.0,0.0
2007,20023300,Comuna 1,1.0,0.0,0.0,0.0
2105,20023400,Comuna 15,1.0,1.0,1.0,0.0
2105,20023500,Comuna 15,1.0,0.0,0.0,1.0
2105,20023600,Comuna 5,1.0,1.0,0.0,0.0
2084,20023700,Comuna 12,1.0,1.0,0.0,0.0
2070,20023800,Comuna 10,,0.0,0.0,0.0
2098,20023900,Comuna 14,1.0,0.0,1.0,0.0
2091,20023901,Comuna 13,1.0,0.0,1.0,0.0
2070,20024000,Comuna 10,1.0,0.0,0.0,0.0
2007,20024300,Comuna 1,,0.0,0.0,0.0
2014,20024800,Comuna 2,1.0,1.0,1.0,1.0
2007,20024900,Comuna 1,1.0,0.0,1.0,0.0
2007,20024902,Comuna 1,1.0,0.0,1.0,0.0
2007,20025000,Comuna 1,1.0,1.0,0.0,0.0
2007,20025100,Comuna 1,1.0,1.0,0.0,0.0
2049,20025300,Comuna 7,1.0,1.0,1.0,1.0
2056,20025400,Comuna 8,1.0,1.0,1.0,0.0
2056,20025500,Comuna 8,1.0,0.0,1.0,0.0
2105,20025600,Comuna 5,1.0,0.0,0.0,0.0
2042,20025700,Comuna 6,,0.0,0.0,0.0
2063,20025800,Comuna 9,,0.0,0.0,0.0
2056,20025900,Comuna 8,,0.0,0.0,0.0
2070,20026000,Comuna 10,,0.0,0.0,0.0
2056,20026001,Comuna 8,,0.0,0.0,0.0
2070,20026100,Comuna 10,,0.0,0.0,0.0
2070,20026200,Comuna 10,,0.0,0.0,0.0
2077,20026300,Comuna 11,,0.0,0.0,0.0
2091,20026400,Comuna 13,1.0,1.0,1.0,1.0
2084,20026600,Comuna 12,,0.0,0.0,0.0
2056,20026800,Comuna 8,1.0,1.0,0.0,0.0
2105,20026900,Comuna 5,,0.0,0.0,0.0
2042,20027000,Comuna 6,,0.0,0.0,0.0
2042,20027100,Comuna 6,,0.0,0.0,0.0
2105,20027200,Comuna 15,,0.0,0.0,0.0
2021,20027300,Comuna 3,1.0,0.0,0.0,0.0
2056,20027400,Comuna 8,1.0,0.0,1.0,0.0
2056,20027500,Comuna 8,1.0,0.0,1.0,0.0
2056,20027600,Comuna 8,1.0,1.0,1.0,1.0
2056,20027800,Comuna 8,1.0,0.0,1.0,0.0
2056,20027804,Comuna 8,1.0,0.0,1.0,0.0
2056,20027900,Comuna 8,1.0,1.0,0.0,0.0
2091,20028100,Comuna 13,1.0,1.0,0.0,0.0
2042,20028300,Comuna 6,1.0,0.0,0.0,0.0
2105,20028400,Comuna 5,,0.0,0.0,0.0
2056,20028500,Comuna 8,1.0,0.0,0.0,1.0
2056,20028600,Comuna 8,1.0,0.0,0.0,1.0
2021,20028700,Comuna 3,1.0,1.0,1.0,1.0
2021,20028900,Comuna 3,1.0,1.0,0.0,0.0
2021,20029000,Comuna 3,1.0,0.0,1.0,0.0
2021,20029001,Comuna 3,1.0,0.0,1.0,0.0
2021,20029002,Comuna 3,1.0,0.0,1.0,0.0
2014,20029300,Comuna 2,1.0,1.0,1.0,1.0
2021,20029400,Comuna 3,1.0,0.0,1.0,0.0
2021,20029401,Comuna 3,1.0,0.0,1.0,0.0
2014,20029500,Comuna 2,1.0,1.0,1.0,1.0
2028,20029600,Comuna 4,1.0,1.0,0.0,0.0
2028,20029700,Comuna 4,1.0,1.0,0.0,0.0
2028,20029800,Comuna 4,1.0,1.0,0.0,0.0
2084,20029900,Comuna 12,1.0,0.0,0.0,1.0
2105,20030100,Comuna 5,,0.0,0.0,0.0
2028,20030101,Comuna 4,,0.0,0.0,0.0
2049,20030200,Comuna 7,1.0,1.0,0.0,0.0
2049,20030300,Comuna 7,1.0,1.0,1.0,0.0
2070,20030400,Comuna 10,1.0,1.0,0.0,0.0
2105,20030500,Comuna 5,1.0,1.0,0.0,0.0
2105,20030700,Comuna 5,1.0,1.0,1.0,1.0
2007,20030900,Comuna 1,1.0,0.0,1.0,0.0
2007,20030902,Comuna 1,1.0,0.0,1.0,0.0
2007,20031000,Comuna 1,,0.0,0.0,0.0
2007,20031100,Comuna 1,1.0,1.0,0.0,0.0
2084,20031200,Comuna 12,,0.0,0.0,0.0
2091,20031700,Comuna 13,1.0,0.0,0.0,1.0
2091,20031900,Comuna 13,1.0,1.0,0.0,0.0
2098,20032000,Comuna 14,,0.0,0.0,0.0
2028,20032100,Comuna 4,,0.0,0.0,0.0
2028,20032200,Comuna 4,,0.0,0.0,0.0
2028,20032300,Comuna 4,,0.0,0.0,0.0
2084,20032400,Comuna 12,1.0,1.0,0.0,0.0
2084,20032500,Comuna 12,1.0,1.0,0.0,0.0
2084,20032600,Comuna 12,,0.0,0.0,0.0
2063,20032800,Comuna 9,1.0,1.0,0.0,0.0
2105,20032900,Comuna 5,1.0,1.0,0.0,0.0
2063,20033000,Comuna 9,1.0,1.0,0.0,0.0
2063,20033100,Comuna 9,1.0,0.0,1.0,0.0
2063,20033101,Comuna 9,1.0,1.0,0.0,0.0
2007,20033300,Comuna 1,1.0,1.0,0.0,0.0
2028,20033400,Comuna 4,1.0,1.0,1.0,0.0
2098,20033500,Comuna 14,1.0,1.0,1.0,0.0
2098,20033600,Comuna 14,1.0,0.0,1.0,0.0
2098,20033601,Comuna 14,1.0,0.0,1.0,0.0
2098,20033602,Comuna 14,1.0,0.0,1.0,0.0
2098,20033700,Comuna 14,,0.0,0.0,0.0
2084,20034100,Comuna 12,1.0,1.0,0.0,0.0
2070,20034200,Comuna 10,1.0,0.0,1.0,0.0
2049,20034400,Comuna 7,1.0,0.0,1.0,0.0
2049,20034401,Comuna 7,1.0,0.0,1.0,0.0
2049,20034402,Comuna 7,1.0,0.0,1.0,0.0
2049,20034500,Comuna 7,,0.0,0.0,0.0
2091,20034700,Comuna 13,,0.0,0.0,0.0
2084,20034800,Comuna 12,,0.0,0.0,0.0
2084,20034900,Comuna 12,1.0,1.0,0.0,0.0
2084,20035000,Comuna 12,1.0,0.0,0.0,1.0
2077,20035100,Comuna 11,1.0,1.0,0.0,0.0
2105,20035200,Comuna 15,1.0,1.0,0.0,0.0
2105,20035300,Comuna 15,1.0,0.0,1.0,0.0
2014,20035400,Comuna 2,1.0,1.0,1.0,1.0
2014,20035500,Comuna 2,1.0,1.0,1.0,0.0
2014,20035600,Comuna 2,1.0,0.0,0.0,0.0
2091,20035800,Comuna 13,1.0,1.0,0.0,0.0
2014,20036100,Comuna 2,1.0,0.0,0.0,0.0
2056,20036200,Comuna 8,1.0,1.0,0.0,0.0
2084,20036300,Comuna 12,1.0,1.0,0.0,0.0
2105,20036400,Comuna 15,1.0,0.0,0.0,1.0
2042,20036500,Comuna 6,,0.0,0.0,0.0
2042,20036600,Comuna 6,1.0,0.0,0.0,0.0
2056,20036601,Comuna 8,1.0,0.0,0.0,0.0
2042,20036800,Comuna 6,1.0,1.0,1.0,0.0
2105,20037000,Comuna 15,1.0,1.0,0.0,0.0
2021,20037100,Comuna 3,,0.0,0.0,0.0
2105,20037200,Comuna 15,1.0,0.0,0.0,0.0
2021,20037300,Comuna 3,,0.0,0.0,0.0
