id_departamento,Rango etario,casos
6343.0,3 a 5,639.0
6343.0,6 a 11,1495.0
6343.0,12 a 18,1600.0
6343.0,19 a 29,2108.0
6343.0,30 a 45,3111.0
6343.0,46 a 60,2203.0
6343.0,> 60,2529.0
,,
,,
6351.0,0 a 2,519.0
6351.0,3 a 5,585.0
6351.0,6 a 11,1131.0
6351.0,12 a 18,1365.0
6351.0,19 a 29,1963.0
6351.0,30 a 45,2741.0
6351.0,46 a 60,2083.0
6351.0,> 60,2455.0
,,
,,
6357.0,0 a 2,18327.0
6357.0,3 a 5,23100.0
6357.0,6 a 11,53294.0
6357.0,12 a 18,67001.0
6357.0,19 a 29,102441.0
6357.0,30 a 45,148664.0
6357.0,46 a 60,117039.0
6357.0,> 60,130703.0
,,
,,
6364.0,0 a 2,6329.0
6364.0,3 a 5,7808.0
6364.0,6 a 11,18024.0
6364.0,12 a 18,18644.0
6364.0,19 a 29,23927.0
6364.0,30 a 45,35190.0
6364.0,46 a 60,19320.0
6364.0,> 60,13073.0
,,
,,
6371.0,0 a 2,12141.0
6371.0,3 a 5,15897.0
6371.0,6 a 11,38161.0
6371.0,12 a 18,46012.0
6371.0,19 a 29,70463.0
6371.0,30 a 45,104207.0
6371.0,46 a 60,77406.0
6371.0,> 60,80216.0
,,
,,
6385.0,0 a 2,799.0
6385.0,3 a 5,1002.0
6385.0,6 a 11,2208.0
6385.0,12 a 18,2369.0
6385.0,19 a 29,3250.0
6385.0,30 a 45,4958.0
6385.0,46 a 60,3658.0
6385.0,> 60,4286.0
,,
,,
6392.0,0 a 2,1287.0
6392.0,3 a 5,1510.0
6392.0,6 a 11,3412.0
6392.0,12 a 18,4022.0
6392.0,19 a 29,5250.0
6392.0,30 a 45,7663.0
6392.0,46 a 60,5762.0
6392.0,> 60,6149.0
,,
,,
6399.0,0 a 2,362.0
6399.0,3 a 5,460.0
6399.0,6 a 11,1028.0
6399.0,12 a 18,1224.0
6399.0,19 a 29,1652.0
6399.0,30 a 45,2442.0
6399.0,46 a 60,2029.0
6399.0,> 60,2465.0
,,
,,
6406.0,0 a 2,354.0
6406.0,3 a 5,435.0
6406.0,6 a 11,919.0
6406.0,12 a 18,1156.0
6406.0,19 a 29,1508.0
6406.0,30 a 45,2197.0
6406.0,46 a 60,1774.0
6406.0,> 60,2238.0
,,
,,
6408.0,0 a 2,4945.0
6408.0,3 a 5,6675.0
6408.0,6 a 11,16075.0
6408.0,12 a 18,19542.0
6408.0,19 a 29,29776.0
6408.0,30 a 45,42600.0
6408.0,46 a 60,32073.0
6408.0,> 60,33675.0
,,
,,
6410.0,0 a 2,4475.0
6410.0,3 a 5,6232.0
6410.0,6 a 11,15026.0
6410.0,12 a 18,18670.0
6410.0,19 a 29,26451.0
6410.0,30 a 45,40707.0
6410.0,46 a 60,33670.0
6410.0,> 60,32752.0
,,
,,
6412.0,0 a 2,13198.0
6412.0,3 a 5,16399.0
6412.0,6 a 11,36232.0
6412.0,12 a 18,40098.0
6412.0,19 a 29,58419.0
6412.0,30 a 45,77660.0
6412.0,46 a 60,46529.0
6412.0,> 60,37992.0
,,
,,
6413.0,0 a 2,3416.0
6413.0,3 a 5,4127.0
6413.0,6 a 11,8925.0
6413.0,12 a 18,10236.0
6413.0,19 a 29,14852.0
6413.0,30 a 45,23418.0
6413.0,46 a 60,16583.0
6413.0,> 60,19407.0
,,
,,
6420.0,0 a 2,3210.0
6420.0,3 a 5,4245.0
6420.0,6 a 11,9744.0
6420.0,12 a 18,11692.0
6420.0,19 a 29,14577.0
6420.0,30 a 45,21442.0
6420.0,46 a 60,17020.0
6420.0,> 60,18470.0
,,
,,
6427.0,0 a 2,69872.0
6427.0,3 a 5,87162.0
6427.0,6 a 11,193043.0
6427.0,12 a 18,214041.0
6427.0,19 a 29,313794.0
6427.0,30 a 45,437715.0
6427.0,46 a 60,283768.0
6427.0,> 60,237773.0
,,
,,
6434.0,0 a 2,12105.0
6434.0,3 a 5,16028.0
6434.0,6 a 11,37841.0
6434.0,12 a 18,46520.0
6434.0,19 a 29,69875.0
6434.0,30 a 45,106601.0
6434.0,46 a 60,82336.0
6434.0,> 60,88775.0
,,
,,
6441.0,0 a 2,22815.0
6441.0,3 a 5,29260.0
6441.0,6 a 11,66893.0
6441.0,12 a 18,78431.0
6441.0,19 a 29,138513.0
6441.0,30 a 45,179839.0
6441.0,46 a 60,124174.0
6441.0,> 60,116149.0
,,
,,
6448.0,0 a 2,369.0
6448.0,3 a 5,532.0
6448.0,6 a 11,1175.0
6448.0,12 a 18,1343.0
6448.0,19 a 29,1732.0
6448.0,30 a 45,2493.0
6448.0,46 a 60,1887.0
6448.0,> 60,1965.0
,,
,,
6455.0,0 a 2,881.0
6455.0,3 a 5,1101.0
6455.0,6 a 11,2355.0
6455.0,12 a 18,2959.0
6455.0,19 a 29,3931.0
6455.0,30 a 45,5771.0
6455.0,46 a 60,4627.0
6455.0,> 60,5511.0
,,
,,
6462.0,0 a 2,622.0
6462.0,3 a 5,739.0
6462.0,6 a 11,1585.0
6462.0,12 a 18,1953.0
6462.0,19 a 29,2586.0
6462.0,30 a 45,3663.0
6462.0,46 a 60,2737.0
6462.0,> 60,3268.0
,,
,,
6466.0,0 a 2,188.0
6466.0,3 a 5,255.0
6466.0,6 a 11,546.0
6466.0,12 a 18,663.0
6466.0,19 a 29,958.0
6466.0,30 a 45,1393.0
6466.0,46 a 60,1039.0
6466.0,> 60,1128.0
,,
,,
6469.0,0 a 2,1637.0
6469.0,3 a 5,1843.0
6469.0,6 a 11,4008.0
6469.0,12 a 18,4746.0
6469.0,19 a 29,6380.0
6469.0,30 a 45,9917.0
6469.0,46 a 60,7738.0
6469.0,> 60,8922.0
,,
,,
6476.0,0 a 2,603.0
6476.0,3 a 5,699.0
6476.0,6 a 11,1606.0
6476.0,12 a 18,1897.0
6476.0,19 a 29,2663.0
6476.0,30 a 45,3913.0
6476.0,46 a 60,3197.0
6476.0,> 60,3528.0
,,
,,
6483.0,0 a 2,1441.0
6483.0,3 a 5,1853.0
6483.0,6 a 11,3961.0
6483.0,12 a 18,4742.0
6483.0,19 a 29,6187.0
6483.0,30 a 45,9122.0
6483.0,46 a 60,6705.0
6483.0,> 60,7407.0
,,
,,
6490.0,0 a 2,22019.0
6490.0,3 a 5,28806.0
6490.0,6 a 11,65571.0
6490.0,12 a 18,76653.0
6490.0,19 a 29,111080.0
6490.0,30 a 45,161707.0
6490.0,46 a 60,112117.0
6490.0,> 60,107691.0
,,
,,
6497.0,0 a 2,3651.0
6497.0,3 a 5,4701.0
6497.0,6 a 11,10571.0
6497.0,12 a 18,12158.0
6497.0,19 a 29,17513.0
6497.0,30 a 45,25901.0
6497.0,46 a 60,18724.0
6497.0,> 60,16892.0
,,
,,
6505.0,0 a 2,893.0
6505.0,3 a 5,1042.0
6505.0,6 a 11,2352.0
6505.0,12 a 18,2676.0
6505.0,19 a 29,3771.0
6505.0,30 a 45,5191.0
6505.0,46 a 60,3393.0
6505.0,> 60,3335.0
,,
,,
6511.0,0 a 2,358.0
6511.0,3 a 5,503.0
6511.0,6 a 11,1058.0
6511.0,12 a 18,1171.0
6511.0,19 a 29,1601.0
6511.0,30 a 45,2539.0
6511.0,46 a 60,1863.0
6511.0,> 60,2160.0
,,
,,
6515.0,0 a 2,11378.0
6515.0,3 a 5,14565.0
6515.0,6 a 11,34313.0
6515.0,12 a 18,40965.0
6515.0,19 a 29,61584.0
6515.0,30 a 45,81575.0
6515.0,46 a 60,56862.0
6515.0,> 60,48159.0
,,
,,
6518.0,0 a 2,1096.0
6518.0,3 a 5,1423.0
6518.0,6 a 11,3085.0
6518.0,12 a 18,3581.0
6518.0,19 a 29,4399.0
6518.0,30 a 45,7883.0
6518.0,46 a 60,5675.0
6518.0,> 60,5831.0
,,
,,
6525.0,0 a 2,2513.0
6525.0,3 a 5,3460.0
6525.0,6 a 11,7274.0
6525.0,12 a 18,8351.0
6525.0,19 a 29,11375.0
6525.0,30 a 45,15145.0
6525.0,46 a 60,9435.0
6525.0,> 60,7208.0
,,
,,
6532.0,0 a 2,2373.0
6532.0,3 a 5,3084.0
6532.0,6 a 11,6743.0
6532.0,12 a 18,7892.0
6532.0,19 a 29,11279.0
6532.0,30 a 45,16203.0
6532.0,46 a 60,11298.0
6532.0,> 60,12130.0
,,
,,
6539.0,0 a 2,20902.0
6539.0,3 a 5,27105.0
6539.0,6 a 11,61148.0
6539.0,12 a 18,70111.0
6539.0,19 a 29,100973.0
6539.0,30 a 45,135434.0
6539.0,46 a 60,89161.0
6539.0,> 60,76650.0
,,
,,
6547.0,0 a 2,824.0
6547.0,3 a 5,1098.0
6547.0,6 a 11,2558.0
6547.0,12 a 18,2853.0
6547.0,19 a 29,3624.0
6547.0,30 a 45,5759.0
6547.0,46 a 60,3964.0
6547.0,> 60,3936.0
,,
,,
6553.0,0 a 2,279.0
6553.0,3 a 5,317.0
6553.0,6 a 11,810.0
6553.0,12 a 18,914.0
6553.0,19 a 29,1180.0
6553.0,30 a 45,1970.0
6553.0,46 a 60,1460.0
6553.0,> 60,1514.0
,,
,,
6560.0,0 a 2,22270.0
6560.0,3 a 5,28521.0
6560.0,6 a 11,65328.0
6560.0,12 a 18,71388.0
6560.0,19 a 29,102486.0
6560.0,30 a 45,138296.0
6560.0,46 a 60,84430.0
6560.0,> 60,63039.0
,,
,,
6568.0,0 a 2,7698.0
6568.0,3 a 5,10346.0
6568.0,6 a 11,24608.0
6568.0,12 a 18,30756.0
6568.0,19 a 29,48700.0
6568.0,30 a 45,77241.0
6568.0,46 a 60,60086.0
6568.0,> 60,70082.0
,,
,,
6574.0,0 a 2,673.0
6574.0,3 a 5,828.0
6574.0,6 a 11,1995.0
6574.0,12 a 18,2428.0
6574.0,19 a 29,3168.0
6574.0,30 a 45,4439.0
6574.0,46 a 60,3095.0
6574.0,> 60,3262.0
,,
,,
6581.0,0 a 2,3009.0
6581.0,3 a 5,3905.0
6581.0,6 a 11,9031.0
6581.0,12 a 18,10861.0
6581.0,19 a 29,14243.0
6581.0,30 a 45,22320.0
6581.0,46 a 60,17993.0
6581.0,> 60,20121.0
,,
,,
6588.0,0 a 2,1701.0
6588.0,3 a 5,2262.0
6588.0,6 a 11,4895.0
6588.0,12 a 18,5934.0
6588.0,19 a 29,7399.0
6588.0,30 a 45,11240.0
6588.0,46 a 60,8949.0
6588.0,> 60,9986.0
,,
,,
6595.0,0 a 2,3714.0
6595.0,3 a 5,4840.0
6595.0,6 a 11,11123.0
6595.0,12 a 18,13458.0
6595.0,19 a 29,19236.0
6595.0,30 a 45,26668.0
6595.0,46 a 60,20907.0
6595.0,> 60,22065.0
,,
,,
6602.0,0 a 2,1227.0
6602.0,3 a 5,1630.0
6602.0,6 a 11,3677.0
