provincia,departamento,cantidad_bp,cantidad_ee,poblacion_total
La Pampa,MARACO,6,103,69067.0
Catamarca,LA PAZ,2,102,26341.0
Chubut,FUTALEUFU,2,102,49965.0
Chaco,QUITILIPI,3,101,32430.0
Mendoza,TUNUYAN,3,101,59972.0
Mendoza,RIVADAVIA,2,101,63589.0
Misiones,APOSTOLES,1,101,50503.0
Salta,ANTA,5,100,69442.0
San Juan,CHIMBAS,2,100,103772.0
Buenos Aires,CHASCOMUS,5,99,42191.0
Santiago del Estero,FIGUEROA,0,99,20246.0
Santiago del Estero,CHOYA,2,97,43692.0
Buenos Aires,LA COSTA,6,96,100400.0
Jujuy,LEDESMA,4,96,94132.0
Tucumán,YERBA BUENA,1,96,102589.0
Buenos Aires,BARADERO,3,95,39223.0
Corrientes,CURUZU CUATIA,2,95,51489.0
Buenos Aires,PATAGONES,1,95,37499.0
Formosa,PILAGAS,0,95,19089.0
Buenos Aires,LOBOS,4,94,41418.0
Santiago del Estero,ROBLES,4,94,53879.0
Corrientes,LAVALLE,1,94,40406.0
Buenos Aires,GENERAL VILLEGAS,5,93,35055.0
Catamarca,TINOGASTA,1,93,25254.0
Buenos Aires,CORONEL DE MARINA L ROSALES,4,92,65823.0
Catamarca,SANTA MARIA,2,92,26822.0
Mendoza,JUNIN,3,91,46472.0
Buenos Aires,SALADILLO,1,91,35423.0
Río Negro,AVELLANEDA,6,90,41160.0
Tucumán,MONTEROS,5,90,77469.0
Santiago del Estero,LORETO,1,90,24047.0
Chaco,MAIPU,0,90,26354.0
Tucumán,LULES,0,90,93464.0
Tucumán,RIO CHICO,2,89,64927.0
Misiones,MONTECARLO,4,88,38620.0
San Juan,JACHAL,1,88,25269.0
Tucumán,SIMOCA,0,88,36946.0
Buenos Aires,VILLARINO,4,87,32552.0
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,3,87,37551.0
Santiago del Estero,AVELLANEDA,3,86,25462.0
Buenos Aires,MARCOS PAZ,1,86,64761.0
Córdoba,GENERAL ROCA,5,85,36064.0
Buenos Aires,GENERAL ALVARADO,2,85,45307.0
Buenos Aires,SAN ANDRES DE GILES,1,85,26399.0
Chubut,CUSHAMEN,7,84,28099.0
Santa Fe,SAN JAVIER,3,84,33180.0
San Juan,POCITO,1,84,72879.0
Corrientes,MERCEDES,5,83,49807.0
Chaco,CHACABUCO,3,83,34493.0
San Luis,AYACUCHO,3,83,23653.0
Chaco,O HIGGINS,1,83,21544.0
Santiago del Estero,GENERAL TABOADA,3,82,46304.0
Misiones,SAN JAVIER,2,82,23080.0
Chaco,9 DE JULIO,4,81,30223.0
Buenos Aires,AYACUCHO,1,81,21757.0
Corrientes,ITUZAINGO,1,81,38767.0
Santiago del Estero,ALBERDI,1,81,20104.0
Córdoba,ISCHILIN,2,80,36023.0
Formosa,LAISHI,2,80,19275.0
Mendoza,SANTA ROSA,2,80,19379.0
Chaco,25 DE MAYO,1,80,32606.0
Corrientes,BELLA VISTA,1,80,44369.0
Corrientes,MONTE CASEROS,7,79,45602.0
La Rioja,CHILECITO,3,79,58681.0
Corrientes,CONCEPCION,2,79,26270.0
Misiones,CANDELARIA,4,78,34945.0
Neuquén,ZAPALA,2,78,45540.0
San Juan,CAUCETE,1,78,44017.0
Santiago del Estero,JIMENEZ,1,77,18622.0
Buenos Aires,ENSENADA,5,76,63978.0
Buenos Aires,LOBERIA,2,76,18106.0
Mendoza,MALARGUE,1,76,32596.0
Buenos Aires,LAS FLORES,1,75,27136.0
Buenos Aires,MAGDALENA,1,75,22653.0
Buenos Aires,MAR CHIQUITA,1,75,32973.0
Tucumán,TRANCAS,1,75,23438.0
Buenos Aires,PRESIDENTE PERON,0,75,101994.0
Buenos Aires,BRANDSEN,3,74,32350.0
Corrientes,GENERAL PAZ,3,74,17016.0
Entre Ríos,ISLAS DEL IBICUY,1,74,13984.0
Buenos Aires,BRAGADO,4,72,46227.0
Catamarca,CAPAYAN,4,72,19471.0
Buenos Aires,CARLOS CASARES,3,72,22905.0
Chaco,SARGENTO CABRAL,3,72,18696.0
San Juan,SARMIENTO,1,72,27188.0
San Juan,25 DE MAYO,0,72,20824.0
Corrientes,PASO DE LOS LIBRES,3,71,56778.0
Santa Fe,BELGRANO,6,70,48544.0
Buenos Aires,NAVARRO,2,70,19888.0
Corrientes,SALADAS,1,70,29126.0
Santiago del Estero,JUAN F IBARRA,1,70,20567.0
Buenos Aires,SAN ANTONIO DE ARECO,2,69,26695.0
Buenos Aires,GENERAL JUAN MADARIAGA,1,69,22566.0
Córdoba,TULUMBA,1,69,14092.0
Buenos Aires,RAMALLO,4,68,39648.0
Jujuy,HUMAHUACA,2,68,20877.0
Córdoba,RIO SECO,1,68,15275.0
Buenos Aires,SALTO,2,67,39257.0
Chaco,12 DE OCTUBRE,1,67,23179.0
Tucumán,GRANEROS,1,67,15539.0
La Rioja,ROSARIO VERA PEÑALOZA,0,67,15764.0
San Luis,JUNIN,7,66,40289.0
Buenos Aires,CORONEL PRINGLES,1,66,24110.0
Mendoza,TUPUNGATO,1,66,41168.0
Chaco,INDEPENDENCIA,0,66,21948.0
Entre Ríos,FELICIANO,0,66,16717.0
Río Negro,SAN ANTONIO,4,65,35473.0
Buenos Aires,ADOLFO ALSINA,2,64,17344.0
Santiago del Estero,OJO DE AGUA,2,63,15008.0
Buenos Aires,ARRECIFES,1,63,32077.0
Buenos Aires,ROJAS,1,63,25619.0
Buenos Aires,EXALTACION DE LA CRUZ,0,63,40036.0
Formosa,MATACOS,0,63,17017.0
Santiago del Estero,SALAVINA,0,63,12775.0
Chaco,GENERAL DONOVAN,2,62,15061.0
Jujuy,YAVI,2,62,25831.0
Santiago del Estero,SAN MARTIN,0,62,11183.0
Buenos Aires,SAAVEDRA,3,61,21407.0
Río Negro,25 DE MAYO,2,61,16555.0
Corrientes,EMPEDRADO,1,61,17948.0
Corrientes,SAN LUIS DEL PALMAR,1,61,21381.0
Buenos Aires,CORONEL DORREGO,3,60,15795.0
