Departamento,provincia,cantidad
RIVADAVIA,Mendoza,202
CORONEL PRINGLES,San Luis,200
CHIMBAS,San Juan,200
Comuna 13,Ciudad Autónoma de Buenos Aires,194
CHOYA,Santiago del Estero,194
CURUZU CUATIA,Corrientes,190
VALLE VIEJO,Catamarca,188
SANTA MARIA,Catamarca,184
SAAVEDRA,Buenos Aires,183
CORONEL DORREGO,Buenos Aires,180
RIO CHICO,Tucumán,178
PUAN,Buenos Aires,177
SANTA ROSA,Catamarca,174
Comuna 14,Ciudad Autónoma de Buenos Aires,172
GENERAL ALVARADO,Buenos Aires,170
CHOS MALAL,Neuquén,168
CHAPALEUFU,La Pampa,165
LEANDRO N. ALEM,Misiones,165
CRUZ DEL EJE,Córdoba,164
SAN JAVIER,Misiones,164
GENERAL PINTO,Buenos Aires,164
CAMPANA,Buenos Aires,163
ITUZAINGO,Buenos Aires,163
GENERAL GUEMES,Salta,162
COCHINOCA,Jujuy,162
ZARATE,Buenos Aires,161
SANTA ROSA,Mendoza,160
ISCHILIN,Córdoba,160
LAISHI,Formosa,160
CONCEPCION,Corrientes,158
SAN PEDRO,Misiones,157
ZAPALA,Neuquén,156
ELDORADO,Misiones,156
ATREUCO,La Pampa,155
LOBERIA,Buenos Aires,152
LEANDRO N. ALEM,Buenos Aires,147
POMAN,Catamarca,144
MERCEDES,Buenos Aires,141
NAVARRO,Buenos Aires,140
SAN ANTONIO DE ARECO,Buenos Aires,138
HUMAHUACA,Jujuy,136
SALTO,Buenos Aires,134
RIVADAVIA,Salta,130
GUATRACHE,La Pampa,130
ADOLFO ALSINA,Buenos Aires,128
FRAY MAMERTO ESQUIU,Catamarca,128
CHIVILCOY,Buenos Aires,127
GENERAL RODRIGUEZ,Buenos Aires,126
OJO DE AGUA,Santiago del Estero,126
SAN MARTIN,San Juan,126
GENERAL DONOVAN,Chaco,124
YAVI,Jujuy,124
MINAS,Neuquén,123
25 DE MAYO,Río Negro,122
CARLOS TEJEDOR,Buenos Aires,120
25 DE MAYO,Buenos Aires,120
RAUCH,Buenos Aires,118
ALUMINE,Neuquén,117
BELGRANO,San Luis,116
METAN,Salta,116
Comuna 2,Ciudad Autónoma de Buenos Aires,114
CHICLIGASTA,Tucumán,113
VALLE FERTIL,San Juan,112
TAFI DEL VALLE,Tucumán,112
FAMAILLA,Tucumán,112
MONTE,Buenos Aires,110
SAN ROQUE,Corrientes,108
GAIMAN,Chubut,105
ESQUINA,Corrientes,105
QUEMU QUEMU,La Pampa,104
GARAY,Santa Fe,104
BALCARCE,Buenos Aires,104
GENERAL VIAMONTE,Buenos Aires,102
APOSTOLES,Misiones,101
ROSARIO DE LA FRONTERA,Salta,98
VILLA GESELL,Buenos Aires,98
SAN SALVADOR,Entre Ríos,96
YERBA BUENA,Tucumán,96
PATAGONES,Buenos Aires,95
ADOLFO GONZALES CHAVES,Buenos Aires,94
CALINGASTA,San Juan,94
LAVALLE,Corrientes,94
TINOGASTA,Catamarca,93
SALADILLO,Buenos Aires,91
GENERAL ARENALES,Buenos Aires,90
GENERAL BELGRANO,La Rioja,90
LORETO,Santiago del Estero,90
JACHAL,San Juan,88
ALBERTI,Buenos Aires,86
MARCOS PAZ,Buenos Aires,86
PINAMAR,Buenos Aires,86
SAN ANDRES DE GILES,Buenos Aires,85
POCITO,San Juan,84
LOVENTUE,La Pampa,84
O HIGGINS,Chaco,83
PEHUENCHES,Neuquén,82
AYACUCHO,Buenos Aires,81
