Cueanexo,Departamento,id_departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET
20014500,Comuna 11,2111,1.0,,,,1.0,
20014600,Comuna 1,2101,1.0,,1.0,1.0,,
20014700,Comuna 9,2109,,,,,,
20015000,Comuna 4,2104,1.0,1.0,1.0,1.0,1.0,
20015200,Comuna 15,2115,1.0,,,,1.0,
20015300,Comuna 8,2108,1.0,,,1.0,,
20015400,Comuna 4,2104,1.0,,,1.0,,
20015500,Comuna 7,2107,1.0,1.0,1.0,,,
20015700,Comuna 7,2107,1.0,1.0,1.0,,,
20015701,Comuna 7,2107,1.0,,,1.0,,
20015800,Comuna 5,2105,1.0,1.0,1.0,,,
20015801,Comuna 6,2106,1.0,1.0,1.0,,,
20015900,Comuna 15,2115,1.0,,,,1.0,
20016000,Comuna 15,2115,1.0,,,1.0,,
20016100,Comuna 11,2111,1.0,,,1.0,,
20016200,Comuna 10,2110,,,,,,
20016300,Comuna 11,2111,1.0,,,,1.0,
20016500,Comuna 7,2107,1.0,,,1.0,,
20016600,Comuna 11,2111,1.0,,,1.0,,
20016700,Comuna 11,2111,1.0,,,1.0,,
20016800,Comuna 11,2111,1.0,,1.0,1.0,,
20016900,Comuna 7,2107,1.0,,,1.0,,
20017000,Comuna 7,2107,1.0,1.0,1.0,,,
20017400,Comuna 3,2103,1.0,,1.0,1.0,1.0,
20017500,Comuna 5,2105,1.0,,,,,
20017700,Comuna 10,2110,1.0,,1.0,,,
20017701,Comuna 10,2110,1.0,,1.0,,,
20017702,Comuna 10,2110,1.0,,1.0,,,
20017800,Comuna 10,2110,1.0,1.0,1.0,1.0,1.0,
20017900,Comuna 12,2112,,,,,,
20018100,Comuna 11,2111,1.0,,,1.0,,
20018400,Comuna 9,2109,1.0,,,1.0,,
20018500,Comuna 9,2109,1.0,,,1.0,,
20018600,Comuna 9,2109,1.0,,,1.0,,
20018700,Comuna 9,2109,1.0,,1.0,,,
20018701,Comuna 9,2109,1.0,,1.0,,,
20018702,Comuna 9,2109,1.0,,1.0,,,
20018800,Comuna 14,2114,1.0,,1.0,,,
20018900,Comuna 14,2114,1.0,,,1.0,,
20019000,Comuna 2,2102,1.0,1.0,1.0,1.0,1.0,
20019200,Comuna 7,2107,1.0,,,,1.0,1.0
20019300,Comuna 10,2110,1.0,,,1.0,,
20019400,Comuna 7,2107,1.0,,1.0,1.0,,
20019600,Comuna 10,2110,1.0,,,1.0,,
20019700,Comuna 1,2101,,,,,,
20019701,Comuna 1,2101,,,,,,
20019800,Comuna 11,2111,1.0,1.0,1.0,1.0,1.0,
20019900,Comuna 11,2111,1.0,,1.0,1.0,1.0,
20020000,Comuna 15,2115,,,,,,
20020100,Comuna 14,2114,1.0,,,,1.0,
20020101,Comuna 14,2114,1.0,1.0,1.0,1.0,,
20020200,Comuna 15,2115,1.0,,,1.0,,
20020300,Comuna 15,2115,1.0,,1.0,1.0,1.0,
20020600,Comuna 12,2112,1.0,,1.0,1.0,,
20020700,Comuna 12,2112,1.0,,,1.0,,
20020800,Comuna 12,2112,1.0,,,1.0,,
20020900,Comuna 15,2115,1.0,1.0,1.0,,,
20020901,Comuna 15,2115,1.0,,,1.0,,
20020902,Comuna 15,2115,1.0,,,,1.0,
20021200,Comuna 14,2114,1.0,1.0,1.0,,,
20021300,Comuna 13,2113,1.0,,,1.0,,
20021400,Comuna 5,2105,1.0,,,1.0,,
20021500,Comuna 11,2111,1.0,,,1.0,,
20021600,Comuna 11,2111,1.0,,,1.0,,
20021700,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20021800,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20021900,Comuna 11,2111,1.0,,,1.0,,
20022000,Comuna 7,2107,1.0,,1.0,,,
20022001,Comuna 7,2107,1.0,,1.0,,,
20022002,Comuna 7,2107,1.0,,1.0,,,
20022100,Comuna 15,2115,1.0,,,1.0,,
20022200,Comuna 15,2115,,,,,,
20022300,Comuna 15,2115,1.0,1.0,1.0,1.0,1.0,
20022400,Comuna 15,2115,1.0,1.0,1.0,1.0,,
20022500,Comuna 15,2115,1.0,,1.0,1.0,,
20023000,Comuna 12,2112,1.0,,,1.0,,
20023100,Comuna 12,2112,1.0,,1.0,1.0,1.0,
20023200,Comuna 1,2101,1.0,,,,,
20023300,Comuna 1,2101,1.0,,,,,
20023400,Comuna 15,2115,1.0,,1.0,1.0,,
20023500,Comuna 15,2115,1.0,,,,1.0,
20023600,Comuna 5,2105,1.0,,,1.0,,
20023700,Comuna 12,2112,1.0,,,1.0,,
20023800,Comuna 10,2110,,,,,,
20023900,Comuna 14,2114,1.0,,1.0,,,
20023901,Comuna 13,2113,1.0,,1.0,,,
20024000,Comuna 10,2110,1.0,,,,,
20024300,Comuna 1,2101,,,,,,
20024800,Comuna 2,2102,1.0,1.0,1.0,1.0,1.0,
20024900,Comuna 1,2101,1.0,,1.0,,,
20024902,Comuna 1,2101,1.0,,1.0,,,
20025000,Comuna 1,2101,1.0,,,1.0,,
20025100,Comuna 1,2101,1.0,,,1.0,,
20025300,Comuna 7,2107,1.0,1.0,1.0,1.0,1.0,
20025400,Comuna 8,2108,1.0,,1.0,1.0,,
20025500,Comuna 8,2108,1.0,,1.0,,,
20025600,Comuna 5,2105,1.0,,,,,
20025700,Comuna 6,2106,,,,,,
20025800,Comuna 9,2109,,,,,,
20025900,Comuna 8,2108,,,,,,
20026000,Comuna 10,2110,,,,,,
20026001,Comuna 8,2108,,,,,,
20026100,Comuna 10,2110,,,,,,
20026200,Comuna 10,2110,,,,,,
20026300,Comuna 11,2111,,,,,,
20026400,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20026600,Comuna 12,2112,,,,,,
20026800,Comuna 8,2108,1.0,,,1.0,,
20026900,Comuna 5,2105,,,,,,
20027000,Comuna 6,2106,,,,,,
20027100,Comuna 6,2106,,,,,,
20027200,Comuna 15,2115,,,,,,
20027300,Comuna 3,2103,1.0,,,,,
20027400,Comuna 8,2108,1.0,,1.0,,,
20027500,Comuna 8,2108,1.0,,1.0,,,
20027600,Comuna 8,2108,1.0,1.0,1.0,1.0,1.0,
20027800,Comuna 8,2108,1.0,,1.0,,,
20027804,Comuna 8,2108,1.0,,1.0,,,
20027900,Comuna 8,2108,1.0,,,1.0,,
20028100,Comuna 13,2113,1.0,,,1.0,,
20028300,Comuna 6,2106,1.0,,,,,
20028400,Comuna 5,2105,,,,,,
20028500,Comuna 8,2108,1.0,,,,1.0,
20028600,Comuna 8,2108,1.0,,,,1.0,
20028700,Comuna 3,2103,1.0,1.0,1.0,1.0,1.0,
20028900,Comuna 3,2103,1.0,,,1.0,,
20029000,Comuna 3,2103,1.0,,1.0,,,
20029001,Comuna 3,2103,1.0,,1.0,,,
20029002,Comuna 3,2103,1.0,,1.0,,,
20029300,Comuna 2,2102,1.0,,1.0,1.0,1.0,
20029400,Comuna 3,2103,1.0,,1.0,,,
20029401,Comuna 3,2103,1.0,,1.0,,,
20029500,Comuna 2,2102,1.0,,1.0,1.0,1.0,
20029600,Comuna 4,2104,1.0,,,1.0,,
20029700,Comuna 4,2104,1.0,,,1.0,,
20029800,Comuna 4,2104,1.0,,,1.0,,
20029900,Comuna 12,2112,1.0,,,,1.0,1.0
20030100,Comuna 5,2105,,,,,,
20030101,Comuna 4,2104,,,,,,
20030200,Comuna 7,2107,1.0,,,1.0,,
20030300,Comuna 7,2107,1.0,,1.0,1.0,,
20030400,Comuna 10,2110,1.0,,,1.0,,
20030500,Comuna 5,2105,1.0,,,1.0,,
20030700,Comuna 5,2105,1.0,1.0,1.0,1.0,1.0,
20030900,Comuna 1,2101,1.0,,1.0,,,
20030902,Comuna 1,2101,1.0,,1.0,,,
20031000,Comuna 1,2101,,,,,,
20031100,Comuna 1,2101,1.0,,,1.0,,
20031200,Comuna 12,2112,,,,,,
20031700,Comuna 13,2113,1.0,,,,1.0,
20031900,Comuna 13,2113,1.0,,,1.0,,
20032000,Comuna 14,2114,,,,,,
20032100,Comuna 4,2104,,,,,,
20032200,Comuna 4,2104,,,,,,
20032300,Comuna 4,2104,,,,,,
20032400,Comuna 12,2112,1.0,,,1.0,,
20032500,Comuna 12,2112,1.0,,,1.0,,
20032600,Comuna 12,2112,,,,,,
20032800,Comuna 9,2109,1.0,,,1.0,,
20032900,Comuna 5,2105,1.0,,,1.0,,
20033000,Comuna 9,2109,1.0,,,1.0,,
20033100,Comuna 9,2109,1.0,1.0,1.0,,,
20033101,Comuna 9,2109,1.0,,,1.0,,
20033300,Comuna 1,2101,1.0,,,1.0,,
20033400,Comuna 4,2104,1.0,,1.0,1.0,,
20033500,Comuna 14,2114,1.0,1.0,1.0,1.0,,
20033600,Comuna 14,2114,1.0,,1.0,,,
20033601,Comuna 14,2114,1.0,,1.0,,,
20033602,Comuna 14,2114,1.0,,1.0,,,
20033700,Comuna 14,2114,,,,,,
20034100,Comuna 12,2112,1.0,,,1.0,,
20034200,Comuna 10,2110,1.0,1.0,1.0,,,
20034400,Comuna 7,2107,1.0,1.0,1.0,,,
20034401,Comuna 7,2107,1.0,,1.0,,,
20034402,Comuna 7,2107,1.0,1.0,1.0,,,
20034500,Comuna 7,2107,,,,,,
20034700,Comuna 13,2113,,,,,,
20034800,Comuna 12,2112,,,,,,
20034900,Comuna 12,2112,1.0,,,1.0,,
20035000,Comuna 12,2112,1.0,,,,1.0,
20035100,Comuna 11,2111,1.0,,,1.0,,
20035200,Comuna 15,2115,1.0,,,1.0,,
20035300,Comuna 15,2115,1.0,1.0,1.0,,,
20035400,Comuna 2,2102,1.0,1.0,1.0,1.0,1.0,
20035500,Comuna 2,2102,1.0,1.0,1.0,1.0,,
20035600,Comuna 2,2102,1.0,,,,,
20035800,Comuna 13,2113,1.0,,,1.0,,
20036100,Comuna 2,2102,1.0,,,,,
20036200,Comuna 8,2108,1.0,,,1.0,,
20036300,Comuna 12,2112,1.0,,,1.0,,
20036400,Comuna 15,2115,1.0,,,,1.0,
20036500,Comuna 6,2106,,,,,,
20036600,Comuna 6,2106,1.0,,,,,
20036601,Comuna 8,2108,1.0,,,,,
20036800,Comuna 6,2106,1.0,1.0,1.0,1.0,,
20037000,Comuna 15,2115,1.0,,,1.0,,
20037100,Comuna 3,2103,,,,,,
20037200,Comuna 15,2115,1.0,,,,,
20037300,Comuna 3,2103,,,,,,
20037400,Comuna 3,2103,,,,,,
20037500,Comuna 3,2103,,,,,,
20037600,Comuna 5,2105,,,,,,
20037900,Comuna 6,2106,1.0,1.0,1.0,,,
20038000,Comuna 7,2107,1.0,,,1.0,,
20038100,Comuna 8,2108,1.0,1.0,1.0,,,
20038200,Comuna 7,2107,1.0,,1.0,,,
20038300,Comuna 12,2112,1.0,,,,1.0,
20038400,Comuna 12,2112,,,,,,
20038500,Comuna 12,2112,,,,,,
20038600,Comuna 5,2105,1.0,,,1.0,,
20038700,Comuna 12,2112,1.0,1.0,1.0,1.0,1.0,
20038800,Comuna 5,2105,,,,,,
20038900,Comuna 4,2104,,,,,,
20039000,Comuna 14,2114,,,,,,
20039100,Comuna 2,2102,,,,,,
20039200,Comuna 1,2101,,,,,,
20039300,Comuna 2,2102,,,,,,
20039400,Comuna 2,2102,,,,,,
20039800,Comuna 7,2107,1.0,1.0,1.0,,,
20039801,Comuna 7,2107,1.0,,,1.0,,
20039900,Comuna 11,2111,1.0,,,1.0,,
20040000,Comuna 7,2107,1.0,,,1.0,,
20040100,Comuna 13,2113,1.0,,,,1.0,
20040200,Comuna 5,2105,1.0,,1.0,1.0,1.0,
20040300,Comuna 7,2107,1.0,1.0,1.0,1.0,1.0,
20040400,Comuna 5,2105,1.0,,,1.0,,
20040500,Comuna 14,2114,,,,,,
20040700,Comuna 3,2103,1.0,1.0,1.0,1.0,1.0,
20040800,Comuna 5,2105,,,,,,
20040801,Comuna 5,2105,,,,,,
20040900,Comuna 8,2108,,,,,,
20041000,Comuna 3,2103,1.0,,,1.0,,
20041100,Comuna 4,2104,1.0,,1.0,1.0,1.0,
20041200,Comuna 3,2103,1.0,,1.0,1.0,,
20041300,Comuna 10,2110,1.0,,,1.0,,
20041400,Comuna 13,2113,1.0,,,,1.0,
20041500,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20041600,Comuna 13,2113,,,,,,
20041700,Comuna 10,2110,1.0,,,1.0,,
20041800,Comuna 4,2104,1.0,,,1.0,,
20041900,Comuna 7,2107,1.0,,,1.0,,
20042000,Comuna 5,2105,1.0,,1.0,1.0,1.0,
20042100,Comuna 13,2113,1.0,,,1.0,,
20042200,Comuna 4,2104,1.0,1.0,1.0,1.0,1.0,
20042300,Comuna 2,2102,,,,,,
20042400,Comuna 1,2101,1.0,,,,,
20042500,Comuna 3,2103,1.0,,1.0,1.0,,
20042600,Comuna 8,2108,1.0,,1.0,,,
20042700,Comuna 12,2112,1.0,,1.0,,,
20042800,Comuna 11,2111,1.0,1.0,1.0,1.0,1.0,
20043100,Comuna 1,2101,,,,,,
20043300,Comuna 8,2108,1.0,,,1.0,,
20043600,Comuna 15,2115,,,,,,
20043700,Comuna 14,2114,1.0,,1.0,1.0,,
20043800,Comuna 3,2103,1.0,,,1.0,,
20043900,Comuna 3,2103,1.0,,1.0,,,
20044000,Comuna 11,2111,1.0,1.0,1.0,1.0,,
20044100,Comuna 4,2104,1.0,,,1.0,,
20044200,Comuna 4,2104,1.0,,1.0,,,
20044400,Comuna 7,2107,1.0,,1.0,,,
20044600,Comuna 5,2105,1.0,,1.0,1.0,,
20044700,Comuna 11,2111,1.0,,,1.0,,
20045100,Comuna 15,2115,1.0,,,,,
20045200,Comuna 3,2103,,,,,,
20045300,Comuna 3,2103,,,,,,
20045500,Comuna 4,2104,1.0,,1.0,1.0,,
20045600,Comuna 1,2101,1.0,,1.0,1.0,,
20045700,Comuna 1,2101,1.0,,1.0,1.0,,
20045800,Comuna 3,2103,1.0,,,,,
20045900,Comuna 3,2103,,,,,,
20046000,Comuna 13,2113,1.0,,,,1.0,
20046100,Comuna 13,2113,1.0,,,1.0,,
20046200,Comuna 10,2110,1.0,,,1.0,,
20046300,Comuna 12,2112,1.0,,,1.0,,
20046400,Comuna 6,2106,1.0,1.0,1.0,1.0,,
20046500,Comuna 11,2111,,,,,,
20046700,Comuna 13,2113,1.0,1.0,1.0,,,
20046702,Comuna 13,2113,1.0,,1.0,,,
20046703,Comuna 13,2113,1.0,,1.0,,,
20046800,Comuna 4,2104,,,,,,
20046900,Comuna 1,2101,1.0,,,,1.0,1.0
20047000,Comuna 4,2104,1.0,,,1.0,,
20047200,Comuna 4,2104,1.0,,,1.0,,
20047300,Comuna 4,2104,1.0,,,1.0,,
20047400,Comuna 4,2104,1.0,,,1.0,,
20047600,Comuna 4,2104,1.0,,,1.0,,
20047700,Comuna 4,2104,1.0,,1.0,,,
20047800,Comuna 15,2115,1.0,,,,1.0,1.0
20047900,Comuna 14,2114,1.0,1.0,1.0,1.0,1.0,
20048000,Comuna 2,2102,,,,,,
20048100,Comuna 2,2102,1.0,,,1.0,,
20048300,Comuna 14,2114,1.0,,,,1.0,
20048400,Comuna 4,2104,1.0,,,1.0,,
20048500,Comuna 4,2104,1.0,,,1.0,,
20048600,Comuna 11,2111,1.0,1.0,1.0,1.0,1.0,
20048700,Comuna 7,2107,1.0,,,,1.0,
20048900,Comuna 13,2113,1.0,,,1.0,,
20049000,Comuna 15,2115,1.0,,,1.0,,
20049100,Comuna 3,2103,1.0,,,1.0,,
20049200,Comuna 3,2103,1.0,,1.0,,,
20049300,Comuna 15,2115,1.0,1.0,1.0,1.0,1.0,
20049400,Comuna 15,2115,1.0,,,,1.0,
20049500,Comuna 11,2111,1.0,,,1.0,,
20049600,Comuna 13,2113,1.0,,1.0,1.0,1.0,
20049700,Comuna 12,2112,1.0,,,1.0,,
20049800,Comuna 4,2104,,,,,,
20049900,Comuna 4,2104,1.0,,,,1.0,1.0
20050000,Comuna 13,2113,1.0,,,,1.0,
20050200,Comuna 13,2113,1.0,,1.0,1.0,1.0,
20050300,Comuna 4,2104,1.0,1.0,1.0,1.0,1.0,
20050400,Comuna 1,2101,1.0,,,1.0,,
20050500,Comuna 3,2103,,,,,,
20050600,Comuna 3,2103,1.0,,,,1.0,1.0
20050800,Comuna 4,2104,1.0,,1.0,1.0,1.0,
20050900,Comuna 1,2101,1.0,,,,1.0,1.0
20051100,Comuna 13,2113,1.0,1.0,1.0,1.0,,
20051101,Comuna 13,2113,1.0,,,,1.0,
20051200,Comuna 9,2109,1.0,1.0,1.0,1.0,1.0,
20051300,Comuna 9,2109,1.0,,,1.0,,
20051301,Comuna 9,2109,1.0,1.0,1.0,,,
20051302,Comuna 9,2109,1.0,,,,1.0,
20051400,Comuna 9,2109,1.0,,,1.0,,
20051600,Comuna 15,2115,1.0,,,1.0,,
20051800,Comuna 15,2115,1.0,,,1.0,,
20051900,Comuna 15,2115,1.0,,,1.0,,
20052000,Comuna 4,2104,1.0,,,1.0,,
20052100,Comuna 4,2104,1.0,1.0,1.0,1.0,1.0,
20052300,Comuna 4,2104,1.0,,,1.0,,
20052400,Comuna 3,2103,1.0,,,1.0,,
20052500,Comuna 1,2101,1.0,1.0,1.0,1.0,,
20052600,Comuna 13,2113,1.0,,,,,
20052700,Comuna 13,2113,1.0,,,1.0,1.0,
20052800,Comuna 1,2101,1.0,,,1.0,,
20053000,Comuna 13,2113,1.0,,,1.0,,
20053100,Comuna 13,2113,1.0,,,,,
20053200,Comuna 13,2113,1.0,1.0,1.0,1.0,,
20053300,Comuna 12,2112,1.0,,,1.0,,
20053400,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20053500,Comuna 13,2113,1.0,,1.0,1.0,1.0,
20053600,Comuna 1,2101,1.0,,1.0,1.0,1.0,
20053601,Comuna 8,2108,1.0,,,,,
20053700,Comuna 3,2103,,,,,,
20053800,Comuna 1,2101,,,,,,
20053900,Comuna 5,2105,1.0,,,,,
20054000,Comuna 4,2104,1.0,,,1.0,,
20054100,Comuna 4,2104,1.0,,1.0,1.0,1.0,
20054200,Comuna 4,2104,1.0,1.0,1.0,,,
20054300,Comuna 1,2101,1.0,,,,1.0,
20054400,Comuna 15,2115,1.0,,,1.0,,
20054500,Comuna 15,2115,1.0,1.0,1.0,1.0,,
20054600,Comuna 15,2115,1.0,,,1.0,,
20054700,Comuna 14,2114,,,,,,
20054900,Comuna 4,2104,,,,,,
20055100,Comuna 5,2105,,,,,,
20055101,Comuna 1,2101,,,,,,
20055300,Comuna 15,2115,,,,,,
20055400,Comuna 10,2110,1.0,,1.0,,,
20055401,Comuna 10,2110,1.0,,1.0,,,
20055402,Comuna 10,2110,1.0,,1.0,,,
20055403,Comuna 9,2109,1.0,,1.0,,,
20055404,Comuna 9,2109,1.0,,1.0,,,
20055500,Comuna 3,2103,1.0,,,,1.0,
20055600,Comuna 9,2109,1.0,,,1.0,,
20055700,Comuna 10,2110,1.0,,,1.0,,
20055800,Comuna 13,2113,1.0,,,1.0,,
20055900,Comuna 13,2113,1.0,1.0,1.0,,,
20056000,Comuna 12,2112,1.0,,1.0,1.0,1.0,
20056100,Comuna 1,2101,1.0,1.0,1.0,1.0,1.0,
20056200,Comuna 1,2101,1.0,,1.0,1.0,1.0,
20056300,Comuna 3,2103,1.0,,,,1.0,
20056400,Comuna 1,2101,1.0,,,,,
20056500,Comuna 1,2101,1.0,,1.0,1.0,1.0,
20056600,Comuna 4,2104,1.0,,,1.0,,
20056700,Comuna 7,2107,1.0,,,1.0,,
20056800,Comuna 1,2101,1.0,,,,1.0,1.0
20057000,Comuna 8,2108,1.0,,,1.0,,
20057100,Comuna 8,2108,1.0,,1.0,1.0,1.0,
20057200,Comuna 2,2102,1.0,,1.0,1.0,1.0,
20057500,Comuna 15,2115,1.0,1.0,1.0,1.0,,
20057800,Comuna 3,2103,1.0,,,1.0,,
20057900,Comuna 3,2103,1.0,1.0,1.0,1.0,1.0,
20058000,Comuna 3,2103,1.0,,1.0,,,
20058001,Comuna 3,2103,1.0,,1.0,,,
20058100,Comuna 15,2115,1.0,,,1.0,,
20058200,Comuna 15,2115,1.0,,,1.0,,
20058300,Comuna 1,2101,1.0,,,,1.0,1.0
20058400,Comuna 1,2101,1.0,,,1.0,1.0,
20058401,Comuna 4,2104,1.0,,,,,
20058500,Comuna 13,2113,1.0,1.0,1.0,1.0,,
20058800,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20058801,Comuna 13,2113,1.0,,,,1.0,
20058900,Comuna 4,2104,1.0,,,1.0,,
20059200,Comuna 13,2113,1.0,,,1.0,,
20059300,Comuna 15,2115,1.0,,,1.0,,
20059400,Comuna 12,2112,1.0,,,1.0,1.0,
20059401,Comuna 12,2112,1.0,1.0,1.0,,,
20059500,Comuna 4,2104,1.0,,1.0,,,
20059600,Comuna 4,2104,1.0,,,1.0,,
20059800,Comuna 15,2115,1.0,,,1.0,,
