Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20018100,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20018400,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20018500,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20018600,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20018700,Ciudad de Buenos Aires,2109,1.0,,1.0,,
20018701,Ciudad de Buenos Aires,2109,1.0,,1.0,,
20018702,Ciudad de Buenos Aires,2109,1.0,,1.0,,
20018800,Ciudad de Buenos Aires,2114,1.0,,1.0,,
20018900,Ciudad de Buenos Aires,2114,1.0,,,1.0,
20019000,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,1.0
20019200,Ciudad de Buenos Aires,2107,1.0,,,,1.0
20019300,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20019400,Ciudad de Buenos Aires,2107,1.0,,1.0,1.0,
20019600,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20019700,Ciudad de Buenos Aires,2101,,,,,
20019701,Ciudad de Buenos Aires,2101,,,,,
20019800,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,1.0
20019900,Ciudad de Buenos Aires,2111,1.0,,1.0,1.0,1.0
20020000,Ciudad de Buenos Aires,2115,,,,,
20020100,Ciudad de Buenos Aires,2114,1.0,,,,1.0
20020101,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,
20020200,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20020300,Ciudad de Buenos Aires,2115,1.0,,1.0,1.0,1.0
20020600,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,
20020700,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20020800,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20020900,Ciudad de Buenos Aires,2115,1.0,1.0,1.0,,
20020901,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20020902,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20021200,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,,
20021300,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20021400,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20021500,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20021600,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20021700,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20021800,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20021900,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20022000,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20022001,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20022002,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20022100,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20022200,Ciudad de Buenos Aires,2115,,,,,
20022300,Ciudad de Buenos Aires,2115,1.0,1.0,1.0,1.0,1.0
20022400,Ciudad de Buenos Aires,2115,1.0,1.0,1.0,1.0,
20022500,Ciudad de Buenos Aires,2115,1.0,,1.0,1.0,
20023000,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20023100,Ciudad de Buenos Aires,2112,1.0,,1.0,1.0,1.0
20023200,Ciudad de Buenos Aires,2101,1.0,,,,
20023300,Ciudad de Buenos Aires,2101,1.0,,,,
20023400,Ciudad de Buenos Aires,2115,1.0,,1.0,1.0,
20023500,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20023600,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20023700,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20023800,Ciudad de Buenos Aires,2110,,,,,
20023900,Ciudad de Buenos Aires,2114,1.0,,1.0,,
20023901,Ciudad de Buenos Aires,2113,1.0,,1.0,,
20024000,Ciudad de Buenos Aires,2110,1.0,,,,
20024300,Ciudad de Buenos Aires,2101,,,,,
20024800,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,1.0
20024900,Ciudad de Buenos Aires,2101,1.0,,1.0,,
20024902,Ciudad de Buenos Aires,2101,1.0,,1.0,,
20025000,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20025100,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20025300,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,1.0,1.0
20025400,Ciudad de Buenos Aires,2108,1.0,,1.0,1.0,
20025500,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20025600,Ciudad de Buenos Aires,2105,1.0,,,,
20025700,Ciudad de Buenos Aires,2106,,,,,
20025800,Ciudad de Buenos Aires,2109,,,,,
20025900,Ciudad de Buenos Aires,2108,,,,,
20026000,Ciudad de Buenos Aires,2110,,,,,
20026001,Ciudad de Buenos Aires,2108,,,,,
20026100,Ciudad de Buenos Aires,2110,,,,,
20026200,Ciudad de Buenos Aires,2110,,,,,
20026300,Ciudad de Buenos Aires,2111,,,,,
20026400,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20026600,Ciudad de Buenos Aires,2112,,,,,
20026800,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20026900,Ciudad de Buenos Aires,2105,,,,,
20027000,Ciudad de Buenos Aires,2106,,,,,
20027100,Ciudad de Buenos Aires,2106,,,,,
20027200,Ciudad de Buenos Aires,2115,,,,,
20027300,Ciudad de Buenos Aires,2103,1.0,,,,
20027400,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20027500,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20027600,Ciudad de Buenos Aires,2108,1.0,1.0,1.0,1.0,1.0
20027800,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20027804,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20027900,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20028100,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20028300,Ciudad de Buenos Aires,2106,1.0,,,,
20028400,Ciudad de Buenos Aires,2105,,,,,
20028500,Ciudad de Buenos Aires,2108,1.0,,,,1.0
20028600,Ciudad de Buenos Aires,2108,1.0,,,,1.0
20028700,Ciudad de Buenos Aires,2103,1.0,1.0,1.0,1.0,1.0
20028900,Ciudad de Buenos Aires,2103,1.0,,,1.0,
20029000,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20029001,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20029002,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20029300,Ciudad de Buenos Aires,2102,1.0,,1.0,1.0,1.0
20029400,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20029401,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20029500,Ciudad de Buenos Aires,2102,1.0,,1.0,1.0,1.0
20029600,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20029700,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20029800,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20029900,Ciudad de Buenos Aires,2112,1.0,,,,1.0
20030100,Ciudad de Buenos Aires,2105,,,,,
20030101,Ciudad de Buenos Aires,2104,,,,,
20030200,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20030300,Ciudad de Buenos Aires,2107,1.0,,1.0,1.0,
20030400,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20030500,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20030700,Ciudad de Buenos Aires,2105,1.0,1.0,1.0,1.0,1.0
20030900,Ciudad de Buenos Aires,2101,1.0,,1.0,,
20030902,Ciudad de Buenos Aires,2101,1.0,,1.0,,
20031000,Ciudad de Buenos Aires,2101,,,,,
20031100,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20031200,Ciudad de Buenos Aires,2112,,,,,
20031700,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20031900,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20032000,Ciudad de Buenos Aires,2114,,,,,
20032100,Ciudad de Buenos Aires,2104,,,,,
20032200,Ciudad de Buenos Aires,2104,,,,,
20032300,Ciudad de Buenos Aires,2104,,,,,
20032400,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20032500,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20032600,Ciudad de Buenos Aires,2112,,,,,
20032800,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20032900,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20033000,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20033100,Ciudad de Buenos Aires,2109,1.0,1.0,1.0,,
20033101,Ciudad de Buenos Aires,2109,1.0,,,1.0,
20033300,Ciudad de Buenos Aires,2101,1.0,,,1.0,
20033400,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,
20033500,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,
20033600,Ciudad de Buenos Aires,2114,1.0,,1.0,,
20033601,Ciudad de Buenos Aires,2114,1.0,,1.0,,
20033602,Ciudad de Buenos Aires,2114,1.0,,1.0,,
20033700,Ciudad de Buenos Aires,2114,,,,,
20034100,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20034200,Ciudad de Buenos Aires,2110,1.0,1.0,1.0,,
20034400,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20034401,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20034402,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20034500,Ciudad de Buenos Aires,2107,,,,,
20034700,Ciudad de Buenos Aires,2113,,,,,
