Departamento,provincia,cantidad
ARRECIFES,Buenos Aires,63
GENERAL DONOVAN,Chaco,62
SAN MARTIN,Santiago del Estero,62
YAVI,Jujuy,62
SAAVEDRA,Buenos Aires,61
EMPEDRADO,Corrientes,61
25 DE MAYO,Río Negro,61
SAN LUIS DEL PALMAR,Corrientes,61
CORONEL DORREGO,Buenos Aires,60
CARLOS TEJEDOR,Buenos Aires,60
DAIREAUX,Buenos Aires,60
RAUCH,Buenos Aires,59
ANDALGALA,Catamarca,59
TOTORAL,Córdoba,59
GUAMINI,Buenos Aires,59
SAN LORENZO,Chaco,59
PUAN,Buenos Aires,59
LIBERTADOR GRL SAN MARTIN,San Luis,59
CHAMICAL,La Rioja,59
LACAR,Neuquén,58
RIVADAVIA,Buenos Aires,58
BELGRANO,San Luis,58
QUEBRACHOS,Santiago del Estero,58
ROQUE PEREZ,Buenos Aires,58
SANTA ROSA,Catamarca,58
METAN,Salta,58
CARMEN DE ARECO,Buenos Aires,57
ROSARIO DE LERMA,Salta,57
GENERAL ALVEAR,Buenos Aires,57
SAN COSME,Corrientes,57
TORNQUIST,Buenos Aires,57
DOLORES,Buenos Aires,56
VALLE FERTIL,San Juan,56
TAFI DEL VALLE,Tucumán,56
FAMAILLA,Tucumán,56
SANTA LUCIA,San Juan,56
MONTE,Buenos Aires,55
PALPALA,Jujuy,55
GENERAL GUEMES,Salta,54
GENERAL PAZ,Buenos Aires,54
SAN ROQUE,Corrientes,54
COCHINOCA,Jujuy,54
SANTA VICTORIA,Salta,54
COLON,Buenos Aires,53
GARAY,Santa Fe,52
CHACABUCO,San Luis,52
REALICO,La Pampa,52
FRAY JUSTO SANTA MARIA DE ORO,Chaco,52
SAN MARTIN,Corrientes,51
GENERAL VIAMONTE,Buenos Aires,51
EL ALTO,Catamarca,51
TAPALQUE,Buenos Aires,51
GENERAL OCAMPO,La Rioja,51
BENITO JUAREZ,Buenos Aires,50
CORONEL PRINGLES,San Luis,50
GENERAL SAN MARTIN,La Rioja,50
LEANDRO N. ALEM,Buenos Aires,49
JUAN B ALBERDI,Tucumán,49
VILLA GESELL,Buenos Aires,49
ROSARIO DE LA FRONTERA,Salta,49
GENERAL BELGRANO,Buenos Aires,48
POMAN,Catamarca,48
SAN SALVADOR,Entre Ríos,48
ADOLFO GONZALES CHAVES,Buenos Aires,47
CALINGASTA,San Juan,47
VALLE VIEJO,Catamarca,47
GENERAL LA MADRID,Buenos Aires,46
GENERAL BELGRANO,La Rioja,45
GENERAL LAS HERAS,Buenos Aires,45
MINAS,Córdoba,45
GENERAL ARENALES,Buenos Aires,45
SAUCE,Corrientes,44
ALBARDON,San Juan,44
